Site Name,Country,Region,Category,Year Inscribed,Is Endangered,Longitude,Latitude,Area (ha),UNESCO Criteria,Endangered Status (Year),Year Listed Endangered,Delisting Year,Site ID
Carolingian Westwork and Civitas Corvey,Germany,Europe and North America,Cultural,2014,Not Endangered,9.41025,51.77827778,12,(ii)(iii)(iv),,,,1447
Speicherstadt and Kontorhaus District with Chilehaus,Germany,Europe and North America,Cultural,2015,Not Endangered,9.999444444,53.54555556,26.08,(iv),,,,1467
Naumburg Cathedral,Germany,Europe and North America,Cultural,2018,Not Endangered,11.804,51.15480556,1.82,(i)(ii),,,,1470
Caves and Ice Age Art in the Swabian Jura,Germany,Europe and North America,Cultural,2017,Not Endangered,9.765555556,48.38777778,462.1,(iii),,,,1527
Archaeological Border complex of Hedeby and the Danevirke,Germany,Europe and North America,Cultural,2018,Not Endangered,9.454111111,54.46194444,227.55,(iii)(iv),,,,1553
Water Management System of Augsburg,Germany,Europe and North America,Cultural,2019,Not Endangered,10.902,48.36547222,112.83,(ii)(iv),,,,1580
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",Ghana,Africa,Cultural,1979,Not Endangered,-0.49361,5.39103,0,(vi),,,,34
Asante Traditional Buildings,Ghana,Africa,Cultural,1980,Not Endangered,-1.625833333,6.401111111,0,(v),,,,35
Temple of Apollo Epicurius at Bassae,Greece,Europe and North America,Cultural,1986,Not Endangered,21.89694,37.43498,20.46,(i)(ii)(iii),,,,392
Archaeological Site of Delphi,Greece,Europe and North America,Cultural,1987,Not Endangered,22.49617,38.48149,51.04,(i)(ii)(iii)(iv)(vi),,,,393
"Acropolis, Athens",Greece,Europe and North America,Cultural,1987,Not Endangered,23.72618,37.97087,3.04,(i)(ii)(iii)(iv)(vi),,,,404
Mount Athos,Greece,Europe and North America,Mixed,1988,Not Endangered,24.21667,40.26667,33042.3,(i)(ii)(iv)(v)(vi)(vii),,,,454
Meteora,Greece,Europe and North America,Mixed,1988,Not Endangered,21.63333,39.71667,271.87,(i)(ii)(iv)(v)(vii),,,,455
Paleochristian and Byzantine Monuments of Thessalonika,Greece,Europe and North America,Cultural,1988,Not Endangered,22.965,40.63833,5.327,(i)(ii)(iv),,,,456
Sanctuary of Asklepios at Epidaurus,Greece,Europe and North America,Cultural,1988,Not Endangered,23.11666667,37.66666667,1393.8,(i)(ii)(iii)(iv)(vi),,,,491
Medieval City of Rhodes,Greece,Europe and North America,Cultural,1988,Not Endangered,28.22778,36.44722,65.85,(ii)(iv)(v),,,,493
Archaeological Site of Mystras,Greece,Europe and North America,Cultural,1989,Not Endangered,22.36667,37.08056,54.43,(ii)(iii)(iv),,,,511
Archaeological Site of Olympia,Greece,Europe and North America,Cultural,1989,Not Endangered,21.66666667,37.65,105.6,(i)(ii)(iii)(iv)(vi),,,,517
Delos,Greece,Europe and North America,Cultural,1990,Not Endangered,25.26667,37.4,350.64,(ii)(iii)(iv)(vi),,,,530
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Greece,Europe and North America,Cultural,1990,Not Endangered,22.75,38.4,3.7,(i)(iv),,,,537
Pythagoreion and Heraion of Samos,Greece,Europe and North America,Cultural,1992,Not Endangered,26.94333,37.69083,668.35,(ii)(iii),,,,595
Archaeological Site of Aigai (modern name Vergina),Greece,Europe and North America,Cultural,1996,Not Endangered,22.31833,40.47139,1420.81,(i)(iii),,,,780
Archaeological Sites of Mycenae and Tiryns,Greece,Europe and North America,Cultural,1999,Not Endangered,22.75,37.73333333,0,(i)(ii)(iii)(iv)(vi),,,,941
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Greece,Europe and North America,Cultural,1999,Not Endangered,26.55,37.3,0,(iii)(iv)(vi),,,,942
Old Town of Corfu,Greece,Europe and North America,Cultural,2007,Not Endangered,19.9275,39.62394139,70,(iv),,,,978
Archaeological Site of Philippi,Greece,Europe and North America,Cultural,2016,Not Endangered,24.28527778,41.01472222,87.545,(iii)(iv),,,,1517
Tikal National Park,Guatemala,Latin America and the Caribbean,Mixed,1979,Not Endangered,-89.61666667,17.21666667,57600,(i)(iii)(iv)(ix)(x),,,,64
Antigua Guatemala,Guatemala,Latin America and the Caribbean,Cultural,1979,Not Endangered,-90.66666667,14.56666667,0,(ii)(iii)(iv),,,,65
Archaeological Park and Ruins of Quirigua,Guatemala,Latin America and the Caribbean,Cultural,1981,Not Endangered,-89.04025,15.27059,0,(i)(ii)(iv),,,,149
"National History Park – Citadel, Sans Souci, Ramiers",Haiti,Latin America and the Caribbean,Cultural,1982,Not Endangered,-72.24417,19.57361,25285.59,(iv)(vi),,,,180
Vatican City,Holy See,Europe and North America,Cultural,1984,Not Endangered,12.45736,41.90216,44,(i)(ii)(iv)(vi),,,,286
Maya Site of Copan,Honduras,Latin America and the Caribbean,Cultural,1980,Not Endangered,-89.13333,14.85,15.095,(iv)(vi),,,,129
Río Plátano Biosphere Reserve,Honduras,Latin America and the Caribbean,Natural,1982,Endangered,-84.675,15.74444444,350000,(vii)(viii)(ix)(x),Y 2011 P 1996-2007,2011,2007,196
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,Europe and North America,Cultural,1987,Not Endangered,19.07067,47.48242,473.3,(ii)(iv),,,,400
Old Village of Hollókő and its Surroundings,Hungary,Europe and North America,Cultural,1987,Not Endangered,19.52917,47.99444,144.5,(v),,,,401
Hortobágy National Park - the <i>Puszta</i>,Hungary,Europe and North America,Cultural,1999,Not Endangered,21.15678,47.59458,74820,(iv)(v),,,,474
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,Europe and North America,Cultural,1996,Not Endangered,17.78444,47.55889,47.4,(iv)(vi),,,,758
Early Christian Necropolis of Pécs (Sopianae),Hungary,Europe and North America,Cultural,2000,Not Endangered,18.22778,46.07444,3.76,(iii)(iv),,,,853
Tokaj Wine Region Historic Cultural Landscape,Hungary,Europe and North America,Cultural,2002,Not Endangered,21.35,48.15,13255,(iii)(v),,,,1063
Þingvellir National Park,Iceland,Europe and North America,Cultural,2004,Not Endangered,-21.03725,64.25380556,9270,(iii)(vi),,,,1152
Surtsey,Iceland,Europe and North America,Natural,2008,Not Endangered,-20.60222222,63.30305556,3370,(ix),,,,1267
Vatnajökull National Park - dynamic nature of fire and ice,Iceland,Europe and North America,Natural,2019,Not Endangered,-16.88154044,64.577363,1482000,(viii),,,,1604
Red Fort Complex,India,Asia and the Pacific,Cultural,2007,Not Endangered,77.24083333,28.65555556,49.1815,(ii)(iii)(vi),,,,231
"Humayun's Tomb, Delhi",India,Asia and the Pacific,Cultural,1993,Not Endangered,77.25056,28.59333,27.04,(ii)(iv),,,,232
"Qutb Minar and its Monuments, Delhi",India,Asia and the Pacific,Cultural,1993,Not Endangered,77.18528,28.52583,0,(iv),,,,233
Churches and Convents of Goa,India,Asia and the Pacific,Cultural,1986,Not Endangered,73.91167,15.50222,0,(ii)(iv)(vi),,,,234
Group of Monuments at Pattadakal,India,Asia and the Pacific,Cultural,1987,Not Endangered,75.81667,15.94833,5.56,(iii)(iv),,,,239
Khajuraho Group of Monuments,India,Asia and the Pacific,Cultural,1986,Not Endangered,79.92222,24.85222,0,(i)(iii),,,,240
Group of Monuments at Hampi,India,Asia and the Pacific,Cultural,1986,Not Endangered,76.47167,15.31444,4187.24,(i)(iii)(iv),P 1999-2006,1999,2006,241
Ajanta Caves,India,Asia and the Pacific,Cultural,1983,Not Endangered,75.7,20.55333,8242,(i)(ii)(iii)(vi),,,,242
Ellora Caves,India,Asia and the Pacific,Cultural,1983,Not Endangered,75.17917,20.02639,0,(i)(iii)(vi),,,,243
Elephanta Caves,India,Asia and the Pacific,Cultural,1987,Not Endangered,72.93583,18.96667,0,(i)(iii),,,,244
"Sun Temple, Konârak",India,Asia and the Pacific,Cultural,1984,Not Endangered,86.09472,19.8875,10.62,(i)(iii)(vi),,,,246
Hill Forts of Rajasthan,India,Asia and the Pacific,Cultural,2013,Not Endangered,74.64611111,24.88333333,0,(ii)(iii),,,,247
Group of Monuments at Mahabalipuram,India,Asia and the Pacific,Cultural,1984,Not Endangered,80.19167,12.61667,0,(i)(ii)(iii)(vi),,,,249
Great Living Chola Temples,India,Asia and the Pacific,Cultural,1987,Not Endangered,79.1325,10.78305556,21.88,(ii)(iii),,,,250
Agra Fort,India,Asia and the Pacific,Cultural,1983,Not Endangered,78.03333333,27.18333333,0,(iii),,,,251
Taj Mahal,India,Asia and the Pacific,Cultural,1983,Not Endangered,78.04222,27.17417,0,(i),,,,252
Fatehpur Sikri,India,Asia and the Pacific,Cultural,1986,Not Endangered,77.66417,27.09444,0,(ii)(iii)(iv),,,,255
Nanda Devi and Valley of Flowers National Parks  ,India,Asia and the Pacific,Natural,1988,Not Endangered,79.66667,30.71667,71783,(vii)(x),,,,335
Kaziranga National Park,India,Asia and the Pacific,Natural,1985,Not Endangered,93.41666667,26.66666667,42996,(ix)(x),,,,337
Manas Wildlife Sanctuary,India,Asia and the Pacific,Natural,1985,Not Endangered,91.03055556,26.725,39100,(vii)(ix)(x),P 1992-2011,1992,2011,338
Keoladeo National Park,India,Asia and the Pacific,Natural,1985,Not Endangered,77.50861111,27.15888889,2873,(x),,,,340
Sundarbans National Park,India,Asia and the Pacific,Natural,1987,Not Endangered,88.89583333,21.945,133010,(ix)(x),,,,452
Buddhist Monuments at Sanchi,India,Asia and the Pacific,Cultural,1989,Not Endangered,77.73972,23.47944,0,(i)(ii)(iii)(iv)(vi),,,,524
"Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat",India,Asia and the Pacific,Cultural,2014,Not Endangered,72.10166667,23.85888889,4.68,(i)(iv),,,,922
Rock Shelters of Bhimbetka,India,Asia and the Pacific,Cultural,2003,Not Endangered,77.58333333,22.92777778,1893,(iii)(v),,,,925
Mountain Railways of India,India,Asia and the Pacific,Cultural,1999,Not Endangered,76.93583,11.51028,88.99,(ii)(iv),,,,944
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Asia and the Pacific,Cultural,2004,Not Endangered,72.83620278,18.94012222,2.85,(ii)(iv),,,,945
Mahabodhi Temple Complex at Bodh Gaya,India,Asia and the Pacific,Cultural,2002,Not Endangered,84.99389,24.69528,4.86,(i)(ii)(iii)(iv)(vi),,,,1056
Champaner-Pavagadh Archaeological Park,India,Asia and the Pacific,Cultural,2004,Not Endangered,73.53333333,22.48333333,1328.89,(iii)(iv)(v)(vi),,,,1101
"The Jantar Mantar, Jaipur",India,Asia and the Pacific,Cultural,2010,Not Endangered,75.825,26.92472222,1.8652,(iii)(iv),,,,1338
Western Ghats,India,Asia and the Pacific,Natural,2012,Not Endangered,77.24972222,8.529722222,795315,(ix)(x),,,,1342
Great Himalayan National Park Conservation Area,India,Asia and the Pacific,Natural,2014,Not Endangered,77.58333333,31.83333333,90540,(x),,,,1406
Victorian Gothic and Art Deco Ensembles of Mumbai,India,Asia and the Pacific,Cultural,2018,Not Endangered,72.83008333,18.92980556,66.34,(ii)(iv),,,,1480
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",India,Asia and the Pacific,Cultural,2016,Not Endangered,85.44388889,25.13666667,23,(iv)(vi),,,,1502
Khangchendzonga National Park,India,Asia and the Pacific,Mixed,2016,Not Endangered,88.37722222,27.76472222,178400,(iii)(vi)(vii)(x),,,,1513
Historic City of Ahmadabad,India,Asia and the Pacific,Cultural,2017,Not Endangered,72.58805556,23.02638889,535.7,(ii)(v),,,,1551
"Jaipur City, Rajasthan",India,Asia and the Pacific,Cultural,2019,Not Endangered,75.78722222,26.90786111,710,(ii)(iv)(vi),,,,1605
Borobudur Temple Compounds,Indonesia,Asia and the Pacific,Cultural,1991,Not Endangered,110.20361,-7.60778,25.51,(i)(ii)(vi),,,,592
Sangiran Early Man Site,Indonesia,Asia and the Pacific,Cultural,1996,Not Endangered,110.8166667,-7.4,5600,(iii)(vi),,,,593
Ujung Kulon National Park,Indonesia,Asia and the Pacific,Natural,1991,Not Endangered,105.3333333,-6.75,78525,(vii)(x),,,,608
Komodo National Park,Indonesia,Asia and the Pacific,Natural,1991,Not Endangered,119.48944,-8.54333,219322,(vii)(x),,,,609
Prambanan Temple Compounds,Indonesia,Asia and the Pacific,Cultural,1991,Not Endangered,110.49167,-7.75222,0,(i)(iv),,,,642
Lorentz National Park,Indonesia,Asia and the Pacific,Natural,1999,Not Endangered,137.83333,-4.75,2350000,(viii)(ix)(x),,,,955
Tropical Rainforest Heritage of Sumatra,Indonesia,Asia and the Pacific,Natural,2004,Endangered,101.5,-2.5,2595124,(vii)(ix)(x),Y 2011,2011,,1167
Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,Indonesia,Asia and the Pacific,Cultural,2012,Not Endangered,115.4027778,-8.259166667,19519.9,(ii)(iii)(v)(vi),,,,1194
Ombilin Coal Mining Heritage of Sawahlunto,Indonesia,Asia and the Pacific,Cultural,2019,Not Endangered,100.7378833,-0.766625556,268.18,(ii)(iv),,,,1610
Tchogha Zanbil,Iran (Islamic Republic of),Asia and the Pacific,Cultural,1979,Not Endangered,48.53333333,32.0833,0,(iii)(iv),,,,113
Persepolis,Iran (Islamic Republic of),Asia and the Pacific,Cultural,1979,Not Endangered,52.89028,29.93444,12.5,(i)(iii)(vi),,,,114
"Meidan Emam, Esfahan",Iran (Islamic Republic of),Asia and the Pacific,Cultural,1979,Not Endangered,51.67777778,32.65745,0,(i)(v)(vi),,,,115
Takht-e Soleyman,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2003,Not Endangered,47.235,36.60388889,10,(i)(ii)(iii)(iv)(vi),,,,1077
Pasargadae,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2004,Not Endangered,53.16729,30.19383,159.65,(i)(ii)(iii)(iv),,,,1106
Soltaniyeh,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2005,Not Endangered,48.79667,36.43528,790.14,(ii)(iii)(iv),,,,1188
Bam and its Cultural Landscape,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2004,Not Endangered,58.36666667,29.11683,0,(ii)(iii)(iv)(v),P 2004-2013,2004,2013,1208
Bisotun,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2006,Not Endangered,47.43666667,34.38833333,187,(ii)(iii),,,,1222
Armenian Monastic Ensembles of Iran,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2008,Not Endangered,45.47333333,38.97888889,129.2819,(ii)(iii)(vi),,,,1262
Shushtar Historical Hydraulic System,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2009,Not Endangered,48.83583333,32.01861111,240.4152,(i)(ii)(v),,,,1315
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2010,Not Endangered,48.29138889,38.24861111,2.1353,(i)(ii)(iv),,,,1345
Tabriz Historic Bazaar Complex,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2010,Not Endangered,46.29305556,38.08138889,28.9733,(ii)(iii)(iv),,,,1346
The Persian Garden,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2011,Not Endangered,53.16666667,30.16666667,716.35,(i)(ii)(iii)(iv)(vi),,,,1372
Masjed-e Jāmé of Isfahan  ,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2012,Not Endangered,51.68527778,32.66972222,2.0756,(ii),,,,1397
Gonbad-e Qābus,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2012,Not Endangered,55.169,37.25802778,1.4754,(i)(ii)(iii)(iv),,,,1398
Golestan Palace,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2013,Not Endangered,51.42051111,35.68036667,5.3,(ii)(iii)(iv),,,,1422
Cultural Landscape of Maymand,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2015,Not Endangered,55.37555556,30.16805556,4953.85,(v),,,,1423
Susa,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2015,Not Endangered,48.25611111,32.18944444,350,(i)(ii)(iii)(iv),,,,1455
Shahr-i Sokhta,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2014,Not Endangered,61.32777778,30.59388889,275,(ii)(iii)(iv),,,,1456
Lut Desert,Iran (Islamic Republic of),Asia and the Pacific,Natural,2016,Not Endangered,58.83888889,30.21611111,2278015,(vii)(viii),,,,1505
The Persian Qanat,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2016,Not Endangered,58.65444444,34.29,0,(iii)(iv),,,,1506
Historic City of Yazd,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2017,Not Endangered,54.36916667,31.90138889,195.67,(iii)(v),,,,1544
Sassanid Archaeological Landscape of Fars Region,Iran (Islamic Republic of),Asia and the Pacific,Cultural,2018,Not Endangered,51.57045,29.77748056,639.3,(ii)(iii)(v),,,,1568
Hyrcanian Forests,Iran (Islamic Republic of),Asia and the Pacific,Natural,2019,Not Endangered,55.72427778,37.42147222,129484.74,(ix),,,,1584
Samarra Archaeological City,Iraq,Arab States,Cultural,2007,Endangered,43.82354306,34.34098944,15058,(ii)(iii)(iv),Y 2007,2007,,276
Hatra,Iraq,Arab States,Cultural,1985,Endangered,42.71833,35.58806,323.75,(ii)(iii)(iv)(vi),Y 2015,2015,,277
Babylon,Iraq,Arab States,Cultural,2019,Not Endangered,44.42083333,32.54196944,1054.3,(iii)(vi),,,,278
Ashur (Qal'at Sherqat),Iraq,Arab States,Cultural,2003,Endangered,43.26111111,35.45666667,70,(iii)(iv),Y 2003,2003,,1130
Erbil Citadel,Iraq,Arab States,Cultural,2014,Not Endangered,44.00916667,36.19111111,15.6,(iv),,,,1437
The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Iraq,Arab States,Mixed,2016,Not Endangered,47.65777778,31.56222222,211544,(iii)(v)(ix)(x),,,,1481
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Ireland,Europe and North America,Cultural,1993,Not Endangered,-6.45,53.69167,770,(i)(iii)(iv),,,,659
Sceilg Mhichíl,Ireland,Europe and North America,Cultural,1996,Not Endangered,-10.53861,51.77194,21.9,(iii)(iv),,,,757
Masada,Israel,Europe and North America,Cultural,2001,Not Endangered,35.35275,31.3135,276,(iii)(iv)(vi),,,,1040
Old City of Acre,Israel,Europe and North America,Cultural,2001,Not Endangered,35.08388889,32.92833333,63.3,(ii)(iii)(v),,,,1042
White City of Tel-Aviv – the Modern Movement,Israel,Europe and North America,Cultural,2003,Not Endangered,34.78333333,32.06666667,140.4,(ii)(iv),,,,1096
Incense Route - Desert Cities in the Negev,Israel,Europe and North America,Cultural,2005,Not Endangered,35.16083,30.54111,6655,(iii)(v),,,,1107
"Biblical Tels - Megiddo, Hazor, Beer Sheba",Israel,Europe and North America,Cultural,2005,Not Endangered,35.18222,32.59722,96.04,(ii)(iii)(iv)(vi),,,,1108
Bahá’i Holy Places in Haifa and the Western Galilee,Israel,Europe and North America,Cultural,2008,Not Endangered,34.97164889,32.82939667,62.58,(iii)(vi),,,,1220
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Israel,Europe and North America,Cultural,2014,Not Endangered,34.89555556,31.6,259,(v),,,,1370
Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,Israel,Europe and North America,Cultural,2012,Not Endangered,34.96527778,32.67,54,(iii)(v),,,,1393
Necropolis of Bet She’arim: A Landmark of Jewish Renewal,Israel,Europe and North America,Cultural,2015,Not Endangered,35.12694444,32.70222222,12.2,(ii)(iii),,,,1471
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,Italy,Europe and North America,Cultural,1980,Not Endangered,9.1705,45.46588889,1.5,(i)(ii),,,,93
Rock Drawings in Valcamonica,Italy,Europe and North America,Cultural,1979,Not Endangered,10.29733333,45.95705556,432.3,(iii)(vi),,,,94
Historic Centre of Florence,Italy,Europe and North America,Cultural,1982,Not Endangered,11.25611,43.77306,505,(i)(ii)(iii)(iv)(vi),,,,174
Medici Villas and Gardens in Tuscany,Italy,Europe and North America,Cultural,2013,Not Endangered,11.30416667,43.85777778,125.4,(ii)(iv)(vi),,,,175
Venice and its Lagoon,Italy,Europe and North America,Cultural,1987,Not Endangered,12.33894444,45.43430556,0,(i)(ii)(iii)(iv)(v)(vi),,,,394
"Piazza del Duomo, Pisa",Italy,Europe and North America,Cultural,1987,Not Endangered,10.39638889,43.72305556,8.87,(i)(ii)(iv)(vi),,,,395
Castel del Monte,Italy,Europe and North America,Cultural,1996,Not Endangered,16.27094444,41.08480556,3.1,(i)(ii)(iii),,,,398
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Italy,Europe and North America,Cultural,1997,Not Endangered,14.32639,41.07333,87.37,(i)(ii)(iii)(iv),,,,549
Historic Centre of San Gimignano,Italy,Europe and North America,Cultural,1990,Not Endangered,11.04167,43.46806,13.88,(i)(iii)(iv),,,,550
The Sassi and the Park of the Rupestrian Churches of Matera,Italy,Europe and North America,Cultural,1993,Not Endangered,16.61027778,40.66638889,1016,(iii)(iv)(v),,,,670
City of Vicenza and the Palladian Villas of the Veneto,Italy,Europe and North America,Cultural,1994,Not Endangered,11.54944444,45.54916667,333.87,(i)(ii),,,,712
Historic Centre of Siena,Italy,Europe and North America,Cultural,1995,Not Endangered,11.33166667,43.31861111,170,(i)(ii)(iv),,,,717
Historic Centre of Naples,Italy,Europe and North America,Cultural,1995,Not Endangered,14.26277778,40.85138889,1021,(ii)(iv),,,,726
Crespi d'Adda,Italy,Europe and North America,Cultural,1995,Not Endangered,9.53833,45.59333,0,(iv)(v),,,,730
"Ferrara, City of the Renaissance, and its Po Delta",Italy,Europe and North America,Cultural,1995,Not Endangered,11.61944444,44.83777778,46712,(ii)(iii)(iv)(v)(vi),,,,733
The <I>Trulli</I> of Alberobello,Italy,Europe and North America,Cultural,1996,Not Endangered,17.23694,40.7825,10.52,(iii)(iv)(v),,,,787
Early Christian Monuments of Ravenna,Italy,Europe and North America,Cultural,1996,Not Endangered,12.19625,44.42041667,1.32,(i)(ii)(iii)(iv),,,,788
Historic Centre of the City of Pienza,Italy,Europe and North America,Cultural,1996,Not Endangered,11.67861111,43.07694444,4.41,(i)(ii)(iv),,,,789
City of Verona,Italy,Europe and North America,Cultural,2000,Not Endangered,10.99388889,45.43861111,444.4,(ii)(iv),,,,797
Residences of the Royal House of Savoy,Italy,Europe and North America,Cultural,1997,Not Endangered,7.68572,45.07253,370.82,(i)(ii)(iv)(v),,,,823
"Botanical Garden (Orto Botanico), Padua",Italy,Europe and North America,Cultural,1997,Not Endangered,11.88066667,45.39911111,2.2,(ii)(iii),,,,824
Archaeological Area and the Patriarchal Basilica of Aquileia,Italy,Europe and North America,Cultural,1998,Not Endangered,13.3675,45.76833333,155.43,(iii)(iv)(vi),,,,825
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Italy,Europe and North America,Cultural,1997,Not Endangered,9.72917,44.10694,4689.25,(ii)(iv)(v),,,,826
"Cathedral, Torre Civica and Piazza Grande, Modena",Italy,Europe and North America,Cultural,1997,Not Endangered,10.92568,44.64624,1.2,(i)(ii)(iii)(iv),,,,827
Historic Centre of Urbino,Italy,Europe and North America,Cultural,1998,Not Endangered,12.63333,43.725,29.23,(ii)(iv),,,,828
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",Italy,Europe and North America,Cultural,1997,Not Endangered,14.48333333,40.75,98.05,(iii)(iv)(v),,,,829
Costiera Amalfitana,Italy,Europe and North America,Cultural,1997,Not Endangered,14.6,40.65,11231,(ii)(iv)(v),,,,830
Archaeological Area of Agrigento,Italy,Europe and North America,Cultural,1997,Not Endangered,13.59333333,37.28972222,934,(i)(ii)(iii)(iv),,,,831
Villa Romana del Casale,Italy,Europe and North America,Cultural,1997,Not Endangered,14.33417,37.36611,8.92,(i)(ii)(iii),,,,832
Su Nuraxi di Barumini,Italy,Europe and North America,Cultural,1997,Not Endangered,8.991388889,39.70583333,2.3254,(i)(iii)(iv),,,,833
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Italy,Europe and North America,Cultural,1998,Not Endangered,15.26666667,40.28333333,159109.73,(iii)(iv),,,,842
Villa Adriana (Tivoli),Italy,Europe and North America,Cultural,1999,Not Endangered,12.77197222,41.94416667,80,(i)(ii)(iii),,,,907
Isole Eolie (Aeolian Islands),Italy,Europe and North America,Natural,2000,Not Endangered,14.94558333,38.48786111,1216,(viii),,,,908
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Italy,Europe and North America,Cultural,2000,Not Endangered,12.62244444,43.06616667,14563.25,(i)(ii)(iii)(iv)(vi),,,,990
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),Italy,Europe and North America,Cultural,2002,Not Endangered,15.06891667,36.89319444,112.79,(i)(ii)(iv)(v),,,,1024
"Villa d'Este, Tivoli",Italy,Europe and North America,Cultural,2001,Not Endangered,12.79625,41.96391667,4.5,(i)(ii)(iii)(iv)(vi),,,,1025
Val d'Orcia,Italy,Europe and North America,Cultural,2004,Not Endangered,11.55,43.06666667,61187.9609,(iv)(vi),,,,1026
<I>Sacri Monti</I> of Piedmont and Lombardy,Italy,Europe and North America,Cultural,2003,Not Endangered,9.169555556,45.97455556,90.5,(ii)(iv),,,,1068
Etruscan Necropolises of Cerveteri and Tarquinia,Italy,Europe and North America,Cultural,2004,Not Endangered,12.10188889,42.00683333,326.93,(i)(iii)(iv),,,,1158
Syracuse and the Rocky Necropolis of Pantalica,Italy,Europe and North America,Cultural,2005,Not Endangered,15.29306,37.05944,898.46,(ii)(iii)(iv)(vi),,,,1200
Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,Italy,Europe and North America,Cultural,2006,Not Endangered,8.931111111,44.41222222,15.777,(ii)(iv),,,,1211
The Dolomites,Italy,Europe and North America,Natural,2009,Not Endangered,12.16305556,46.61305556,141902.8,(vii)(viii),,,,1237
Mantua and Sabbioneta,Italy,Europe and North America,Cultural,2008,Not Endangered,10.79444444,45.15944444,235,(ii)(iii),,,,1287
Longobards in Italy. Places of the Power (568-774 A.D.),Italy,Europe and North America,Cultural,2011,Not Endangered,13.43305556,46.09416667,14.08,(ii)(iii)(vi),,,,1318
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Italy,Europe and North America,Cultural,2014,Not Endangered,7.963611111,44.60861111,10789,(iii)(v),,,,1390
Mount Etna,Italy,Europe and North America,Natural,2013,Not Endangered,14.99666667,37.75611111,19237,(viii),,,,1427
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Italy,Europe and North America,Cultural,2015,Not Endangered,13.35305556,38.11083333,6.235,(ii)(iv),,,,1487
"Ivrea, industrial city of the 20th century",Italy,Europe and North America,Cultural,2018,Not Endangered,7.869166667,45.4575,71.185,(iv),,,,1538
Le Colline del Prosecco di Conegliano e Valdobbiadene,Italy,Europe and North America,Cultural,2019,Not Endangered,12.22611111,45.95302778,20334.2,(v),,,,1571
Blue and John Crow Mountains ,Jamaica,Latin America and the Caribbean,Mixed,2015,Not Endangered,-76.57111111,18.0775,26251.6,(iii)(vi)(x),,,,1356
Buddhist Monuments in the Horyu-ji Area,Japan,Asia and the Pacific,Cultural,1993,Not Endangered,135.7333333,34.61666667,15.03,(i)(ii)(iv)(vi),,,,660
Himeji-jo,Japan,Asia and the Pacific,Cultural,1993,Not Endangered,134.7,34.83333333,107,(i)(iv),,,,661
Yakushima,Japan,Asia and the Pacific,Natural,1993,Not Endangered,130.5333333,30.33333333,10747,(vii)(ix),,,,662
